""," ","추가 설명 및 의견","작성자","변경 이력","","","","","","","","","","","","","","","","","","","","",""
"index","인덱스","","","","","","","","","","","","","","","","","","","","","","","",""
"Inequality Operator","부등 연산자","!=","","","","","","","","","","","","","","","","","","","","","","",""
"information hiding","정보 은닉","","","","","","","","","","","","","","","","","","","","","","","",""
"Inheritance","상속","","","","","","","","","","","","","","","","","","","","","","","",""
"inline","인라인","인라인 스크립트 등의 맥락에서 사용합니다.","","","","","","","","","","","","","","","","","","","","","","",""
"input field","입력 필드","","","","","","","","","","","","","","","","","","","","","","","",""
"instance","인스턴스","","","","","","","","","","","","","","","","","","","","","","","",""
"internal object","내부 객체","","","","","","","","","","","","","","","","","","","","","","","",""
"Internet Explorer","Internet Explorer","브라우저는 상품명이므로 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"introduction","소개","","","","","","","","","","","","","","","","","","","","","","","",""
"introspection","내부검사","프로그램이 객체의 타입이나 프로퍼티를 검사하는것","Chris","","","","","","","","","","","","","","","","","","","","","",""
"iterable","이터러블","키워드 최초 등장시, 반복 가능한(iterable, 이터러블) 객체로 써주고, 
본문에 해당 단어가 여러번 등장하면 반복 가능한 객체, 이터러블, 이터러블 객체를 혼용해서 씀.
★되도록이면 '이터러블'을 사용","","기존 번역안함에서 변경하였습니다. 참고 이슈: https://github.com/javascript-tutorial/ko.javascript.info/issues/69","","","","","","","","","","","","","","","","","","","","",""
"iteration","반복, 이터레이션","반복(iteration, 이터레이션)","","","","","","","","","","","","","","","","","","","","","","",""
"iterator","iterator","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"javascript","자바스크립트","","","","","","","","","","","","","","","","","","","","","","","",""
"JavaScript libraries","자바스크립트 라이브러리","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"key","키","","","","","","","","","","","","","","","","","","","","","","","",""
"label","레이블","","","","","","","","","","","","","","","","","","","","","","","",""
"level","레벨","","","","","","","","","","","","","","","","","","","","","","","",""
"lexical","렉시컬","최초 등장시 렉시컬(lexical, 정적, 어휘적)으로 병기해서 사용해줌","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"Lexical Environment","렉시컬 환경","초보자를 위한 Javascript 200제 참고","","","","","","","","","","","","","","","","","","","","","","",""
"lifecycle","생명주기","","","","","","","","","","","","","","","","","","","","","","","",""
"line","행, 줄, 라인","","","","","","","","","","","","","","","","","","","","","","","",""
"line break","줄바꿈","","","","","","","","","","","","","","","","","","","","","","","",""
"linked list","연결 리스트","","","","","","","","","","","","","","","","","","","","","","","",""
"linter","linter","","","","","","","","","","","","","","","","","","","","","","","",""
"literal","리터럴(표기법)","정보를 표현하는 방법, 정보를 표현하는 기호","","","","","","","","","","","","","","","","","","","","","","",""
"local","지역, 로컬","지역 변수 등에서는 번역을 하고, local network, local server 같은 경우에는 '로컬'로 음차번역함","","","","","","","","","","","","","","","","","","","","","","",""
"log","로그","","","","","","","","","","","","","","","","","","","","","","","",""
"loop","반복문","for / while  과 같이 사용시 for 문 / while 문 또는 반복문으로 사용가능","Chris","","","","","","","","","","","","","","","","","","","","","",""
"Mac","Mac","운영체제명은 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"manual","매뉴얼","","","","","","","","","","","","","","","","","","","","","","","",""
"margin","마진","패딩 역시 여백으로 해석될 수 있기 때문에, padding과 margin은 각각 패딩과 마진으로 번역","","","","","","","","","","","","","","","","","","","","","","",""
"markup","마크업","","","","","","","","","","","","","","","","","","","","","","","",""
"match","일치 항목","정규표현식에서 match 라는 단어가 나올 때 일치 항목이라고 번역했습니다.","KB Park","","","","","","","","","","","","","","","","","","","","","",""
"mechanism","매커니즘","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"megabyte","메가바이트","","","","","","","","","","","","","","","","","","","","","","","",""
"member function","멤버 함수","","","","","","","","","","","","","","","","","","","","","","","",""
"member variable","멤버 변수","","","","","","","","","","","","","","","","","","","","","","","",""
"memory","메모리","","","","","","","","","","","","","","","","","","","","","","","",""
"message","메시지","","","","","","","","","","","","","","","","","","","","","","","",""
"method","메서드","","","","","","","","","","","","","","","","","","","","","","","",""
"method shorthand","메서드 단축 구문","https://developer.mozilla.org/ko/docs/Web/JavaScript/Reference/Functions/Method_definitions","","","","","","","","","","","","","","","","","","","","","","",""
"microsecond","마이크로초","","","","","","","","","","","","","","","","","","","","","","","",""
"Microsoft","Microsoft","회사명은 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"millisecond","밀리초","","","","","","","","","","","","","","","","","","","","","","","",""
"minifier","압축기","","","","","","","","","","","","","","","","","","","","","","","",""
"minus, subtraction ","뺄셈","뺄셈 연산자","","","","","","","","","","","","","","","","","","","","","","",""
"Mixin","Mixin, 믹스인","원문과 음차어를 혼용해서 사용함
https://www.microsoft.com/en-us/language/Search?&searchTerm=mixin&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"mock","모의","","","","","","","","","","","","","","","","","","","","","","","",""
"modal","모달","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"Modal window","모달 창","","","","","","","","","","","","","","","","","","","","","","","",""
"model","모델","","","","","","","","","","","","","","","","","","","","","","","",""
"modern","모던(한)","현대적인 으로 번역할 수 있으나, 조금 동떨어진 개념 같아서 '모던(한)'으로 번역을 통일하고자 용어집에 추가합니다. 
사전에도 '모던(한)'으로 번역할 수 있도록 허용하고 있습니다.","","","","","","","","","","","","","","","","","","","","","","",""
"module","모듈","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"mount","마운트","","","","","","","","","","","","","","","","","","","","","","","",""
"multiplication ","곱셈","곱셈 연산자","","","","","","","","","","","","","","","","","","","","","","",""
"mutation observer","뮤테이션 옵저버","","kyujonglee","","","","","","","","","","","","","","","","","","","","","",""
"named collection","명명된 컬렉션","https://www.microsoft.com/en-us/language/Search?&searchTerm=named%20collection&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"named collection","기명 컬렉션","명명된 컬렉션'이란 번역어로 등록했던 용어인데 리뷰를 거쳐 번역어가 변경되었습니다.","yourankim","","","","","","","","","","","","","","","","","","","","","",""
"named function expression","기명 함수 표현식","","","","","","","","","","","","","","","","","","","","","","","",""
"namespace","네임스페이스","","","","","","","","","","","","","","","","","","","","","","","",""
"native","네이티브","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"nested function","중첩 함수","초보자를 위한 Javascript 200제 참고","","","","","","","","","","","","","","","","","","","","","","",""
"network","네트워크","","","","","","","","","","","","","","","","","","","","","","","",""
"network request","네트워크 요청","","","","","","","","","","","","","","","","","","","","","","","",""
"newline character","줄 바꿈 문자","https://www.microsoft.com/en-us/language/Search?&searchTerm=newline%20character&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"NFE","명시된 함수표현 식","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"node","노드","","","","","","","","","","","","","","","","","","","","","","","",""
"non-configurable","구성 가능하지 않은","https://www.microsoft.com/en-us/language/Search?&searchTerm=non-configurable&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"Non-identity / strict inequality","불일치 연산자","!==","","","","","","","","","","","","","","","","","","","","","","",""
"non-promise","프라미스가 아닌 객체","","","","","","","","","","","","","","","","","","","","","","","",""
"non-standard","비표준","","","","","","","","","","","","","","","","","","","","","","","",""
"note","노트","","","","","","","","","","","","","","","","","","","","","","","",""
"note","주의","","","","","","","","","","","","","","","","","","","","","","","",""
"null","null","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"nullish coalescing operator","nullish 병합 연산자","기존에 null 병합 연산자로 번역하였는데, 부정확하여 nullish 병합 연산자로 수정(12/22/2021)","보라","","","","","","","","","","","","","","","","","","","","","",""
"number type","숫자, 숫자형","","","","","","","","","","","","","","","","","","","","","","","",""
"object","객체","","","","","","","","","","","","","","","","","","","","","","","",""
"object initializer","객체 초기자","","","","","","","","","","","","","","","","","","","","","","","",""
"object wrapper","원시 래퍼 객체","https://developer.mozilla.org/ko/docs/Glossary/Primitive#JavaScript%EC%97%90%EC%84%9C%EC%9D%98_%EC%9B%90%EC%8B%9C_%EB%9E%98%ED%8D%BC_%EA%B0%9D%EC%B2%B4","","","","","","","","","","","","","","","","","","","","","","",""
"Opera","Opera","브라우저는 상품명이므로 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"operand","피연산자","","","","","","","","","","","","","","","","","","","","","","","",""
"operation","연산","","","","","","","","","","","","","","","","","","","","","","","",""
"operator","연산자","","","","","","","","","","","","","","","","","","","","","","","",""
"optimize","최적화(하다)","","","","","","","","","","","","","","","","","","","","","","","",""
"optional chaining","옵셔널 체이닝","","","","","","","","","","","","","","","","","","","","","","","",""
"outer","외부","","","","","","","","","","","","","","","","","","","","","","","",""
"Outer Lexical Environment","외부 렉시컬 환경","초보자를 위한 Javascript 200제 참고","","","","","","","","","","","","","","","","","","","","","","",""
"overriding","오버라이딩","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"package","패키지","","","","","","","","","","","","","","","","","","","","","","","",""
"padding","패딩","마진 역시 여백으로 해석될 수 있기 때문에, padding과 margin은 각각 패딩과 마진으로 번역","","","","","","","","","","","","","","","","","","","","","","",""
"page reloding","새로 고침","새로고침으로 붙여쓰지 않고, 새로 고침으로 띄워씀","","","","","","","","","","","","","","","","","","","","","","",""
"pane","패널","Sources 패널, Network 패널 등과 같이 크롬 개발자 도구에서 쓰이는 작은 보조 창
https://developers.google.com/web/tools/chrome-devtools/sources?hl=ko","","","","","","","","","","","","","","","","","","","","","","",""
"parallel computations","병렬 계산","","","","","","","","","","","","","","","","","","","","","","","",""
"parameter","매개변수","함수에 전달되는 데이터를 가리키는 변수로, 인자라고 부르기도 합니다. 인수를 담는 변수입니다.
참고 이슈: https://github.com/javascript-tutorial/ko.javascript.info/issues/508","","","","","","","","","","","","","","","","","","","","","","",""
"parent","부모","부모 노드","","","","","","","","","","","","","","","","","","","","","","",""
"parentheses","괄호","","OMEGA-Y","","","","","","","","","","","","","","","","","","","","","",""
"parse-time","parse-time","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"parsing","파싱","","","","","","","","","","","","","","","","","","","","","","","",""
"part","대 단원","","","","","","","","","","","","","","","","","","","","","","","",""
"partial (partials)","번역안함","함수를 부분적으로 변형하는 .partial 메서드 같은 방법","Chris","","","","","","","","","","","","","","","","","","","","","",""
"partial application","부분 적용","함수형 프로그래밍에서 쓰이는 용어
https://github.com/indongyoo/functional-javascript/wiki/4.2-%EB%B6%80%EB%B6%84-%EC%A0%81%EC%9A%A9","","","","","","","","","","","","","","","","","","","","","","",""
"partial function application","partial 함수 적용","application 이 적용이라는 표현으로 partial 함수를 적용한다는 의미로 쓰임
","Chris","","","","","","","","","","","","","","","","","","","","","",""
"Pattern","패턴","","KB Park","","","","","","","","","","","","","","","","","","","","","",""
"platform","플랫폼","","","","","","","","","","","","","","","","","","","","","","","",""
"plus, addition","덧셈","또는 덧셈 연산자","","","","","","","","","","","","","","","","","","","","","","",""
"pointer","포인터","마우스 포인터","","","","","","","","","","","","","","","","","","","","","","",""
"polyfill","폴리필","일반적으로 한글로 폴리필이라 부름. 멀티브라우저를 지원하기위해 그 기능을 구현하는것","Chris","","","","","","","","","","","","","","","","","","","","","",""
"portal","포탈","","","","","","","","","","","","","","","","","","","","","","","",""
"practice","관습, 관례","","","","","","","","","","","","","","","","","","","","","","","",""
"primise","primise","영문표기","","","","","","","","","","","","","","","","","","","","","","",""
"primises chaining","primise 연결하기","책 <모던자바스크립트입문, 이소히로시 길벗출판사> 참고","","","","","","","","","","","","","","","","","","","","","","",""
"primitive type","원시형, 원시 타입","","","","","","","","","","","","","","","","","","","","","","","",""
"primitive(s)","원시값","","","","","","","","","","","","","","","","","","","","","","","",""
"process","프로세스","","","","","","","","","","","","","","","","","","","","","","","",""
"production server","프로덕션 서버","개발 및 프로덕션 서버를 구분 짓기위한 용어. https://www.ibm.com/support/knowledgecenter/ko/SSQP76_8.7.1/com.ibm.odm.itoa.config/topics/con_topologies.html","","","","","","","","","","","","","","","","","","","","","","",""
"programmer","프로그래머","","minseokkang8571","","","","","","","","","","","","","","","","","","","","","",""
"promise","프라미스","","","","","","","","","","","","","","","","","","","","","","","",""
"prompt","프롬프트 대화상자","프론트엔드 개발자를 위한 자바스크립트 프로그래밍. 최초 등장시 프롬프트(confirm) 대화상자로 한-영 병기","","","","","","","","","","","","","","","","","","","","","","",""
"property","프로퍼티","","","","","","","","","","","","","","","","","","","","","","","",""
"proposal","제안","tc-39의 proposal","","","","","","","","","","","","","","","","","","","","","","",""
"props","props","번역 안함 / 프로퍼티즈. 단수형이라면 프로퍼티로 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"prototype","프로토타입","","","","","","","","","","","","","","","","","","","","","","","",""
"proxy","프락시","","","","","","","","","","","","","","","","","","","","","","","",""
"pseudo-class","가상 클래스","","","","","","","","","","","","","","","","","","","","","","","",""
"pseudo-element","의사 요소","https://www.microsoft.com/en-us/language/Search?&searchTerm=pseudo%20element&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"pseudocode","의사코드","최초등장시 (슈도코드, pseudocode)로 병기","Chris","","","","","","","","","","","","","","","","","","","","","",""
"question mark operator","물음표 연산자","","","","","","","","","","","","","","","","","","","","","","","",""
"queue","대기열","","","","","","","","","","","","","","","","","","","","","","","",""
"raising","올리기","호이스팅에서 부가설명으로 사용, ""올리다""라는 표현이 적절","Chris","","","","","","","","","","","","","","","","","","","","","",""
"real array","정규 배열","순수한 Array를 나타낼때 쓰이고 있는데 ""실제"" ""정식"" ""진짜"" 등을 쓸경우 표현이 부적절하여 정규배열이 알맞다고 생각함","Chris","","","","","","","","","","","","","","","","","","","","","",""
"reconciliation","재조정","","","","","","","","","","","","","","","","","","","","","","","",""
"recursion","재귀","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"recursive","재귀적인","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"recursive traversals","재귀적인 순회들","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"ref","ref","번역 안함 / 레퍼런스로 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"reference","참고","본문에서 링크된 주소를 참고하라는 의미로 사용 ","Chris","","","","","","","","","","","","","","","","","","","","","",""
"reference type","참조 타입","","","","","","","","","","","","","","","","","","","","","","","",""
"regexp","정규식","","OMEGA-Y","","","","","","","","","","","","","","","","","","","","","",""
"regular expression","정규 표현식","","","","","","","","","","","","","","","","","","","","","","","",""
"reject","reject","프라미스의 콜백함수인 reject는 함수이름이기 때문에 번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"rejected","실패, 거부됨","프라미스에서 사용, 러닝 자바스크립트 번역 참고","","","","","","","","","","","","","","","","","","","","","","",""
"rejection handler","rejection 핸들러","","","","","","","","","","","","","","","","","","","","","","","",""
"remote server","원격 서버","","","","","","","","","","","","","","","","","","","","","","","",""
"render","렌더링하다","","","","","","","","","","","","","","","","","","","","","","","",""
"repository","리포지토리","https://www.microsoft.com/en-us/language/Search?&searchTerm=repository&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"resolve","resolve","프라미스의 콜백함수인 resolve를 나타내는 경우는 함수이름이기 때문에 번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"resolve","이행되다, 성공적으로 처리되다","프라미스가 성공적으로 처리된 경우엔 이와 같이 번역합니다.","","","","","","","","","","","","","","","","","","","","","","",""
"resolved style value","결정값","https://developer.mozilla.org/ko/docs/Web/CSS/resolved_value","","","","","","","","","","","","","","","","","","","","","","",""
"rest parameter","나머지 매개변수","팀결정","","","","","","","","","","","","","","","","","","","","","","",""
"return","리턴","메서드의 반환값을 나타낼 때는 리턴이라고 번역했습니다","kbpark","","","","","","","","","","","","","","","","","","","","","",""
"return statement","리턴문","인사이드 자바스크립트 참고","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"return value","결괏값, 반환 값","","","","","","","","","","","","","","","","","","","","","","","",""
"reuse","재사용","","","","","","","","","","","","","","","","","","","","","","","",""
"root","루트","","","","","","","","","","","","","","","","","","","","","","","",""
"root domain","루트 도메인","","","","","","","","","","","","","","","","","","","","","","","",""
"Ruby","Ruby","프로그래밍 언어 이름은 번역하지 않습니다.","","","","","","","","","","","","","","","","","","","","","","",""
"run-time","런타임","","","","","","","","","","","","","","","","","","","","","","","",""
"runtime","런타임","","","","","","","","","","","","","","","","","","","","","","","",""
"Safari","Safari","브라우저는 상품명이므로 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"Same Origin Policy","동일 출처 정책","https://developer.mozilla.org/ko/docs/Web/Security/Same-origin_policy","","","","","","","","","","","","","","","","","","","","","","",""
"schedule","스케줄","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"scheduling","스케줄링","setTimeout 과 setInterval 같이 작업을 예약하는것","Chris","","","","","","","","","","","","","","","","","","","","","",""
"scope","스코프","전역 스코프(global scope), 블록 스코프(block scope), function scope(함수 스코프)","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"script","스크립트","","","","","","","","","","","","","","","","","","","","","","","",""
"section","절","","","","","","","","","","","","","","","","","","","","","","","",""
"seed","고정값","","","","","","","","","","","","","","","","","","","","","","","",""
"semicolon","세미콜론, 쌍반점","","","","","","","","","","","","","","","","","","","","","","","",""
"server-side","서버 사이드","","","","","","","","","","","","","","","","","","","","","","","",""
"setter","setter","번역 안함, 최초 등장시에만 `설정자`라고 영한 병기해줌 e.g.setter(설정자)","","","","","","","","","","","","","","","","","","","","","","",""
"settled","결정, 처리된","프라미스에서 사용, 러닝 자바스크립트 번역 참고","","","","","","","","","","","","","","","","","","","","","","",""
"shareware","셰어웨어","share를 셰어로, ware를 웨어로 표기(국립국어원 외래어 표기법 용례)","","","","","","","","","","","","","","","","","","","","","","",""
"Short-circuit evaluation","단락 회로 평가.","","","","","","","","","","","","","","","","","","","","","","","",""
"shorthand","단축 구문","method shorthand에서 사용합니다","","","","","","","","","","","","","","","","","","","","","","",""
"sibling (node)","형제 (노드)","","","","","","","","","","","","","","","","","","","","","","","",""
"side-effect","부작용","마이크로소프트 Language Portal의 Terminology Search 페이지 기반","","","","","","","","","","","","","","","","","","","","","","",""
"slash","슬래시","// 주석 등에 쓰이는 빗금을 '빗금'이라 번역하지 않고, 영문 그대로 '슬래시'로 번역","","","","","","","","","","","","","","","","","","","","","","",""
"solution","해답, 답안","","","","","","","","","","","","","","","","","","","","","","","",""
"spec","스펙","테스팅 자동화를 위해 작성하는 문서","","","","","","","","","","","","","","","","","","","","","","",""
"spec, specification","명세(서)","명세 혹은 명세서로 번역합니다","","","","","","","","","","","","","","","","","","","","","","",""
"special character","특수 문자","https://www.microsoft.com/en-us/language/Search?&searchTerm=special%20character&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"spread operator","전개 연산자","https://developer.mozilla.org/ko/docs/Web/JavaScript/Reference/Operators/Spread_operator","","","","","","","","","","","","","","","","","","","","","","",""
"spread syntax","전개 구문","한빛미디어 출판 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"square bracket","대괄호","","","","","","","","","","","","","","","","","","","","","","","",""
"stack","스택","","","","","","","","","","","","","","","","","","","","","","","",""
"state","상태, state","React관련 주제에선 state를 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"Stateful Component","유상태 컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"Stateless Component","무상태 컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"statement","문, 구문","단독으로 쓰일 땐 구문으로 번역","","","","","","","","","","","","","","","","","","","","","","",""
"static","정적","다른 문서에서 보통 ""정적""으로 표기하고 있습니다. (ex. static method = 정적 메서드)","Chris","","","","","","","","","","","","","","","","","","","","","",""
"Sticky Mode","번역 안함","","KB Park","","","","","","","","","","","","","","","","","","","","","",""
"strict mode","엄격 모드","no strict mode는 비 엄격 모드로 번역합시다.","","","","","","","","","","","","","","","","","","","","","","",""
"string, string type","문자열, 문자형","","","","","","","","","","","","","","","","","","","","","","","",""
"style","스타일","","","","","","","","","","","","","","","","","","","","","","","",""
"stylesheet","스타일시트, stylesheet","병기","","","","","","","","","","","","","","","","","","","","","","",""
"subcall","서브 호출","","","","","","","","","","","","","","","","","","","","","","","",""
"subdomain","서브 도메인","","","","","","","","","","","","","","","","","","","","","","","",""
"substring","부분 문자열","","","","","","","","","","","","","","","","","","","","","","","",""
"summary","요약","","","","","","","","","","","","","","","","","","","","","","","",""
"surrogate pair","서로게이트 쌍","번역어 없이 그냥 써로게이트 페어라고 부르는 것 같습니다. UTF-16에서 2바이트 값 2개를 결합해서 하나의 문자를 표현하는 방식이라고 합니다.

번역안함에서 '서로게이트 쌍'으로 번역으로 변경합니다.
https://www.microsoft.com/en-us/language/Search?&searchTerm=surrogate%20pair&langID=457&Source=true&productid=0","KB Park","","","","","","","","","","","","","","","","","","","","","",""
"switch","switch문","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol, symbol type","심볼, 심볼형","","","","","","","","","","","","","","","","","","","","","","","",""
"syntactic sugar","편의 문법","어떤 언어에서 제거하더라도 그 언어가 제공하는 기능과 표현력을 똑같이 유지하는 데에 아무런 노력이 필요하지 않은 구조","","","","","","","","","","","","","","","","","","","","","","",""
"syntax","문법","","","","","","","","","","","","","","","","","","","","","","","",""
"synthetic event","합성 이벤트","","","","","","","","","","","","","","","","","","","","","","","",""
"table","테이블","table태그는 테이블이라 해석, 다른 경우는 '표'와 혼용하여 사용","","","","","","","","","","","","","","","","","","","","","","",""
"tag","태그","","","","","","","","","","","","","","","","","","","","","","","",""
"tagged tamplate","태그드 템플릿","","","","","","","","","","","","","","","","","","","","","","","",""
"target","타깃","","","","","","","","","","","","","","","","","","","","","","","",""
"task","과제","","","","","","","","","","","","","","","","","","","","","","","",""
"template","템플릿","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"template function","템플릿 함수","https://www.microsoft.com/en-us/language/Search?&searchTerm=template%20function&langID=457&Source=true&productid=undefined","","","","","","","","","","","","","","","","","","","","","","",""
"ternary operator","삼항 연산자","","","","","","","","","","","","","","","","","","","","","","","",""
"text field","텍스트 필드","","minseokkang8571","","","","","","","","","","","","","","","","","","","","","",""
"text node","텍스트 노드","TEXT 노드로 혼용","","","","","","","","","","","","","","","","","","","","","","",""
"third party","서드 파티","https://opendict.korean.go.kr/search/searchResult?focus_name=query&query=third+party","","","","","","","","","","","","","","","","","","","","","","",""
"Third Plugins","서드파티 플러그인","","","","","","","","","","","","","","","","","","","","","","","",""
"throttle","스로틀","국립 국어원 외래어 표기법 기반","rovin0805","","","","","","","","","","","","","","","","","","","","","",""
"throttling","스로틀링","","rovin0805","","","","","","","","","","","","","","","","","","","","","",""
"thumbnail","섬네일","외래어 표기법 상 '썸네일'이 아닌 '섬네일'로 표기","hysimok","","","","","","","","","","","","","","","","","","","","","",""
"Tick","Tick","번역 안함 / 틱으로 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"time zone","표준 시간대, 시간대","https://www.microsoft.com/en-us/language/Search?&searchTerm=time%20zone&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"timestamp","타임스탬프","https://www.microsoft.com/en-us/language/Search?&searchTerm=timestamp&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"tip","팁","","","","","","","","","","","","","","","","","","","","","","","",""
"toggle","토글","토글 버튼 등","","","","","","","","","","","","","","","","","","","","","","",""
"tool","툴","","","","","","","","","","","","","","","","","","","","","","","",""
"transition","전환","","","","","","","","","","","","","","","","","","","","","","","",""
"transition","전환, 트랜지션","CSS에서의 transition은 트랜지션으로 번역하기로 결정함","dazzel3","","","","","","","","","","","","","","","","","","","","","",""
"transpile","트랜스파일","","","","","","","","","","","","","","","","","","","","","","","",""
"transpiler","트랜스파일러","","","","","","","","","","","","","","","","","","","","","","","",""
"traversal","순회","","","","","","","","","","","","","","","","","","","","","","","",""
"tree","트리","DOM 트리, DOM 트리 구조 등에서 '트리'로 번역 / 프론트엔드 개발자를 위한 자바스크립트 책 참고","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"tree shaking","가지치기","번들링 툴의 최적화 과정중 하나로, 사용하지 않는(import하지 않는) 코드를 삭제해 줌","","","","","","","","","","","","","","","","","","","","","","",""
"trick","편법, 트릭","편법(기술)을 사용해서 문제를 해결한다는 의미","Chris","","","","","","","","","","","","","","","","","","","","","",""
"trigger","트리거","","","","","","","","","","","","","","","","","","","","","","","",""
"true ","true","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"truthy (value)","truthy","개념이 최초로 나오는 글에서 truthy(참 같은 값)으로 영-한 병기해주고, 다른 기타 글에서는 번역하지 않음","","기존에 참 같은 값으로 번역하기로 하였다가, 번역 안함으로 변경","","","","","","","","","","","","","","","","","","","","",""
"tutorial","튜토리얼","","","","","","","","","","","","","","","","","","","","","","","",""
"type","타입, (자료)형","단독으로 쓰일 땐 타입으로 번역하지만, 다른 단어와 함께 쓰이면 (띄어쓰기 없이)'xx형'으로 번역합시다. xx type인 경우 최대한 'xx형'으로 번역합니다(e.g., 문자형, 숫자형 등).","","","","","","","","","","","","","","","","","","","","","","",""
"UI","UI","번역 안함 / 유아이라고 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"undefined","undefined","번역 안함 / 언디파인드 라고 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"underscore","밑줄","","","","","","","","","","","","","","","","","","","","","","","",""
"unicode character","유니코드 문자","https://www.microsoft.com/en-us/language/Search?&searchTerm=unicode%20character&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"unmount","마운트 해제","","","","","","","","","","","","","","","","","","","","","","","",""
"upload","업로드","","davidyang2149","","","","","","","","","","","","","","","","","","","","","",""
"url","url","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"use case","유스 케이스","","","","","","","","","","","","","","","","","","","","","","","",""
"user","사용자","","","","","","","","","","","","","","","","","","","","","","","",""
"value(s)","값(값들)","일반적으로 ""값""으로 사용","Chris","","","","","","","","","","","","","","","","","","","","","",""
"vector","벡터","","","","","","","","","","","","","","","","","","","","","","","",""
"view","뷰","","","","","","","","","","","","","","","","","","","","","","","",""
"viewport","뷰포트","https://www.microsoft.com/en-us/language/Search?&searchTerm=viewport&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"visitor","사용자","","","","","","","","","","","","","","","","","","","","","","","",""
"Web","Web","대문자로 된 Web의 경우 번역하지 않음 / 웹 이라고 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"web component","웹 컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"webpack","웹팩","","","","","","","","","","","","","","","","","","","","","","","",""
"webpage(s)","웹페이지","","","","","","","","","","","","","","","","","","","","","","","",""
"WebSocket","웹소켓","","","","","","","","","","","","","","","","","","","","","","","",""
"wheel","휠","마우스의 휠","","","","","","","","","","","","","","","","","","","","","","",""
"Whoops!","에러 발생!","에러 생성자에 넘겨주는 문자열","","","","","","","","","","","","","","","","","","","","","","",""
"window","window","window 객체를 나타낼때는 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"window","윈도우","","","","","","","","","","","","","","","","","","","","","","","",""
"Windows","Windows","운영체제명은 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"wrapper","래퍼","","","","","","","","","","","","","","","","","","","","","","","",""
"wrapping","래핑(하는)","","","","","","","","","","","","","","","","","","","","","","","",""
"x","곱하기","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
